Degree,Rho,Lambda
0,0.000000,0.000000
1,0.000000,0.000000
2,0.018892,0.904933
3,0.347584,0.009251
4,0.090135,0.085816
5,0.000000,0.000000
6,0.000000,0.000000
7,0.004047,
8,0.018791,
9,0.038786,
10,0.000000,
11,0.113906,
12,0.000000,
13,0.100773,
14,0.005856,
15,0.089109,
16,0.000110,
17,0.110435,
18,0.061577,
19,0.000000,
20,0.000000,
