0.7,0,10,32000000,1000000,50,5.69E-02,3.56E-02,8.47E-01,4.33E-01,121.5
0.7,0,11,32000000,1000000,50,3.80E-02,1.74E-02,7.11E-01,2.57E-01,82.8
0.7,0,12,32000000,1000000,50,2.33E-02,6.99E-03,5.30E-01,1.26E-01,45.7
0.7,0,13,32000000,1000000,50,1.28E-02,2.31E-03,3.38E-01,4.98E-02,27
0.7,0,14,32000000,1000000,50,6.12E-03,6.23E-04,1.78E-01,1.57E-02,16.1
0.7,0,15,32000000,1000000,50,2.48E-03,1.51E-04,7.63E-02,4.20E-03,8
0.7,0,16,32000000,1000000,50,8.07E-04,3.88E-05,2.54E-02,1.08E-03,5.5
0.7,0,17,32000000,1000000,50,2.06E-04,1.57E-05,6.46E-03,4.00E-04,5
0.7,0,18,32000000,1000000,50,4.51E-05,1.30E-05,1.34E-03,3.18E-04,4.9
0.7,0,19,32000000,1000000,50,1.56E-05,1.26E-05,4.03E-04,3.08E-04,4.8
0.7,0,20,32000000,1000000,50,1.30E-05,1.20E-05,3.25E-04,2.92E-04,5
0.7,0,21,32000000,1000000,50,1.23E-05,1.12E-05,3.22E-04,2.86E-04,4.9
0.7,0,22,32000000,1000000,50,1.25E-05,1.10E-05,3.32E-04,2.82E-04,5.1
0.7,0,23,32000000,1000000,50,1.32E-05,1.14E-05,3.32E-04,2.76E-04,5.1
0.7,0,24,32000000,1000000,50,1.04E-05,8.91E-06,2.81E-04,2.33E-04,5.3
0.7,0,25,32000000,1000000,50,1.09E-05,8.19E-06,2.98E-04,2.20E-04,5
0.7,0,26,32000000,1000000,50,9.97E-06,5.12E-06,2.69E-04,1.44E-04,5.4
0.7,0,27,32000000,1000000,50,9.87E-06,2.66E-06,2.77E-04,7.60E-05,5.1
0.7,0,28,32000000,1000000,50,9.19E-06,1.03E-06,2.68E-04,3.00E-05,4.9
0.7,0,29,32000000,1000000,50,8.16E-06,2.19E-07,2.50E-04,7.00E-06,5.4
0.7,0,30,32000000,1000000,50,6.56E-06,3.12E-08,2.10E-04,1.00E-06,4.7
0.7,0,31,32000000,1000000,50,6.09E-06,0.00E+00,1.95E-04,0.00E+00,5.4
0.70, 0.00,15,32000000,1000000,5,2.48e-03,5.58e-04,7.63e-02,1.65e-02,5.9
0.70, 0.00,15,32000000,1000000,10,2.46e-03,3.37e-04,7.58e-02,9.74e-03,6.5
0.70, 0.00,15,32000000,1000000,15,2.47e-03,2.61e-04,7.62e-02,7.48e-03,7.0
0.70, 0.00,15,32000000,1000000,20,2.48e-03,2.14e-04,7.63e-02,6.08e-03,8.2
0.70, 0.00,15,32000000,1000000,25,2.47e-03,1.97e-04,7.59e-02,5.55e-03,8.2
0.70, 0.00,15,32000000,1000000,30,2.47e-03,1.81e-04,7.60e-02,5.12e-03,7.5
0.70, 0.00,15,32000000,1000000,35,2.49e-03,1.70e-04,7.67e-02,4.73e-03,8.0
0.70, 0.00,15,32000000,1000000,40,2.46e-03,1.62e-04,7.56e-02,4.51e-03,7.8
0.70, 0.00,15,32000000,1000000,45,2.47e-03,1.55e-04,7.61e-02,4.33e-03,7.7
