Degree,Rho,Lambda
0,0.000000,0.000000
1,0.000000,0.000000
2,0.098703,0.232831
3,0.098703,0.767169
4,0.061152,0.000000
5,0.028981,0.000000
6,0.098703,0.000000
7,0.000000,
8,0.000000,
9,0.000000,
10,0.017071,
11,0.000000,
12,0.098205,
13,0.098703,
14,0.000131,
15,0.004970,
16,0.098703,
17,0.098566,
18,0.098703,
19,0.098703,
20,0.000000,
